name,model,type,price,year,distance,drive,transmission,engine,color,city,owners,isActive
Lexus,ES 300,Седан,8999,2004,280.0,Передній,Автомат,3 л (217 к.с. / 160 кВт);Бензин,Чорний металік,Львів,,true
Lexus,GS 300,Седан,8999,2007,160.0,Задній,Автомат,3 л (250 к.с. / 184 кВт);Бензин,Чорний металік,Харків,7,true
Lexus,GS 300,Седан,9000,2005,226.0,Задній,Автомат,3 л;Бензин,Сірий металік,Одеса,,true
Lexus,GS 300,Седан,9000,2006,280.0,Задній,Автомат,3 л;Бензин,Бежевий,Біла Церква,7,true
Lexus,ES 300,Седан,9000,2005,190.0,,,3 л;Газ / Бензин,Чорний,Біла Церква,6,true
Lexus,RX 300,Позашляховик / Кросовер,9000,2005,224.0,Повний,Автомат,3 л;Газ / Бензин,Чорний,Ужгород,,true
Lexus,RX 300,Позашляховик / Кросовер,9000,2001,300.0,Повний,Автомат,3 л (232 к.с. / 171 кВт);Газ / Бензин,Сірий,Мелітополь,2,true
Lexus,GS 300,Седан,9000,2005,235.0,Повний,Автомат,3 л (249 к.с. / 183 кВт);Бензин,Сірий,Харків,3,true
Lexus,LS 430,Седан,9050,2004,310.0,Задній,Автомат,4.3 л (285 к.с. / 210 кВт);Газ / Бензин,Чорний,Хмельницький,12,true
Lexus,IS 220,Седан,9100,2008,218.0,,,2.2 л;Дизель,Сірий,Тернопіль,3,true
Lexus,ES 300,Седан,9100,2004,200.0,Передній,Автомат,3 л;Бензин,Чорний,Вишневе,,true
Lexus,RX 330,Позашляховик / Кросовер,9145,2004,324.0,Повний,Автомат,3.3 л (211 к.с. / 155 кВт);Бензин,Сірий металік,Київ,2,true
Lexus,LS 430,Седан,9199,2002,295.0,Задній,Автомат,4.3 л (382.16 к.с. / 281 кВт);Газ / Бензин,Сірий металік,Южноукраїнськ,3,true
Lexus,RX 300,Позашляховик / Кросовер,9200,2003,215.0,Повний,Автомат,3 л;Газ / Бензин,Сірий металік,Полтава,4,true
Lexus,IS 220,Седан,9200,2007,190.0,Задній,Ручна / Механіка,2.2 л;Дизель,Сірий металік,Іршава,4,true
Lexus,GS 300,Седан,9200,2006,238.0,Повний,Автомат,3 л;Бензин,Червоний металік,Житомир,2,true
Lexus,GS 300,Седан,9200,2005,283.0,Задній,Автомат,3 л (249 к.с. / 183 кВт);Бензин,Сірий металік,Дніпро (Дніпропетровськ),8,true
Lexus,ES 300,Седан,9200,2005,270.0,Передній,Автомат,3 л;Бензин,Чорний,Львів,2,true
Lexus,GS 300,Седан,9300,2005,160.0,Повний,Автомат,3 л;Бензин,Чорний,Львів,4,true
Lexus,LS 430,Седан,9300,2002,240.0,Задній,,4.3 л;Газ / Бензин,Сірий,Жовті Води,,true
Lexus,GS 300,Седан,9333,2005,269.0,Повний,Автомат,3 л;Бензин,Чорний,Луцьк,12,true
Lexus,IS 220,Седан,9400,2010,168.0,,Ручна / Механіка,2.2 л;Дизель,Червоний металік,Одеса,,true
Lexus,IS 220,Седан,9500,2007,197.0,Задній,Ручна / Механіка,2.2 л (240.72 к.с. / 177 кВт);Дизель,Чорний,Київ,1,true
Lexus,RX 300,Позашляховик / Кросовер,9500,2004,282.0,Повний,Автомат,3 л;Бензин,Чорний металік,Кропивницький (Кіровоград),2,true
Lexus,GS 350,Седан,9500,2007,214.0,Повний,Автомат,3.5 л;Бензин,Сірий,Миколаїв,5,true
Lexus,GS 300,Седан,9500,2005,240.0,Повний,Типтронік,3 л (250 к.с. / 184 кВт);Бензин,Сірий металік,Чернівці,4,true
Lexus,IS 250,Седан,9500,2006,151.0,Повний,Автомат,2.5 л;Бензин,Сірий,Хмельницький,,true
Lexus,RX 300,Позашляховик / Кросовер,9500,2001,288.0,Повний,Автомат,3 л (210 к.с. / 154 кВт);Бензин,Чорний металік,Київ,1,true
Lexus,GS 300,Седан,9500,2000,178.0,Задній,Автомат,3 л;Газ / Бензин,Чорний,Одеса,4,true
Lexus,RX 300,Позашляховик / Кросовер,9600,2003,250.0,Повний,Автомат,3 л;Газ / Бензин,Бежевий металік,Кривий Ріг,,true
Lexus,GS 300,Седан,9600,2006,233.0,Задній,Автомат,3 л;Бензин,Сірий,Одеса,2,true
